"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cdk2ap11",1.9302226503319e-226,0.555629157852708,0.822,0.469,3.64985800951259e-222,"10","Cdk2ap1"
"Syngr13",1.10007352004601e-225,0.667841286114703,0.932,0.535,2.080129019055e-221,"10","Syngr1"
"Nav3",6.30024016863099e-225,0.47418740647443,0.688,0.284,1.19131241348643e-220,"10","Nav3"
"Yaf2",8.50693897057995e-225,0.606455037552065,0.903,0.657,1.60857708994696e-220,"10","Yaf2"
"Gnb11",2.19765670024341e-223,0.573467330299034,0.998,0.964,4.15554905449027e-219,"10","Gnb1"
"Eif2s3x",2.64425057138195e-223,0.610822888469499,0.945,0.798,5.00001340542614e-219,"10","Eif2s3x"
"Akap12",2.04163481098619e-222,0.401669090417822,0.588,0.194,3.86052726409379e-218,"10","Akap12"
"Ppp1r14b",9.83945896967062e-222,0.643873528779027,0.988,0.893,1.86054329657502e-217,"10","Ppp1r14b"
"Hnrnpab1",3.57931064501732e-221,0.534912934812162,0.998,0.957,6.76811849866325e-217,"10","Hnrnpab"
"Larp4b",3.18547967606326e-220,0.597693127931775,0.953,0.812,6.02342351946802e-216,"10","Larp4b"
"Neu1",3.77907310617477e-220,0.522922667987825,0.777,0.382,7.14584933646588e-216,"10","Neu1"
"Grb2",6.41764486604525e-220,0.619829789669889,0.971,0.84,1.2135124677205e-215,"10","Grb2"
"Pop5",1.05757366859417e-219,0.533585192459524,0.98,0.904,1.99976604994471e-215,"10","Pop5"
"Nus1",1.20039908337949e-219,0.560948663044071,0.886,0.64,2.26983462676228e-215,"10","Nus1"
"Mtdh2",1.37079115332122e-219,0.592310295604147,0.974,0.906,2.5920289918151e-215,"10","Mtdh"
"Pam",1.69838944502787e-218,0.360945853587701,0.44,0.109,3.2114846016032e-214,"10","Pam"
"Afdn2",1.85471757903705e-218,0.567145270764634,0.867,0.564,3.50708547020116e-214,"10","Afdn"
"0610012G03Rik1",3.90830003570301e-218,0.546801450695837,0.971,0.874,7.39020453751082e-214,"10","0610012G03Rik"
"Tmem126a",1.74597429900356e-217,0.622111409498507,0.948,0.788,3.30146280198584e-213,"10","Tmem126a"
"2900026A02Rik2",6.94202725661708e-217,0.462870345191931,0.674,0.27,1.31266793395372e-212,"10","2900026A02Rik"
"1810037I17Rik",6.61704338447062e-216,0.575237598466477,0.991,0.961,1.25121673356955e-211,"10","1810037I17Rik"
"Bcat1",5.41984014386397e-214,0.504650837428873,0.822,0.425,1.02483757280324e-209,"10","Bcat1"
"Coro1c",5.12475819002569e-213,0.566122168858166,0.952,0.806,9.69040526151958e-209,"10","Coro1c"
"Frk",1.80366575645381e-212,0.43201131172974,0.617,0.235,3.41055157887851e-208,"10","Frk"
"Rps27rt",1.11028114541431e-211,0.483718458298591,0.998,0.972,2.09943061786392e-207,"10","Rps27rt"
"1810058I24Rik1",3.88082039899477e-211,0.529428837459379,0.984,0.918,7.33824329245922e-207,"10","1810058I24Rik"
"Nploc4",5.33224380011949e-211,0.487958218893723,0.719,0.355,1.00827398016459e-206,"10","Nploc4"
"Myadm",5.38120314830231e-211,0.495334119950949,0.734,0.354,1.01753170331248e-206,"10","Myadm"
"Nop101",4.42896855647949e-210,0.578073165912156,0.998,0.961,8.37473664344706e-206,"10","Nop10"
"Mrpl421",5.40363297420285e-210,0.589204385391873,0.975,0.93,1.02177295909202e-205,"10","Mrpl42"
"Gcnt1",5.56791169786103e-210,0.336112555481328,0.502,0.145,1.05283642294854e-205,"10","Gcnt1"
"Kmt5a",6.6060459314956e-210,0.557217643026608,0.946,0.858,1.2491372251865e-205,"10","Kmt5a"
"mt-Nd12",2.3768061302483e-209,0.570165759744315,1,0.99,4.49430271168651e-205,"10","mt-Nd1"
"Rpl29",1.96864205752545e-208,0.337530893935037,1,1,3.72250526657488e-204,"10","Rpl29"
"Cdc343",2.4049738737365e-208,0.55512189197173,0.988,0.925,4.54756509784835e-204,"10","Cdc34"
"Tnfaip8l11",5.01478242842458e-208,0.28761128346719,0.435,0.104,9.48245209390803e-204,"10","Tnfaip8l1"
"Asap3",1.19465322447512e-207,0.266398446217817,0.372,0.079,2.25896978216001e-203,"10","Asap3"
"Kpnb11",1.83912266068751e-207,0.583719851420119,0.968,0.862,3.477597039094e-203,"10","Kpnb1"
"Gnptab",5.15138181089211e-207,0.274644382433188,0.418,0.102,9.74074786621588e-203,"10","Gnptab"
"F3",1.95390035783723e-206,0.316447408359243,0.452,0.119,3.69463018663442e-202,"10","F3"
"Bri31",1.66137887237825e-205,0.599042264261109,0.924,0.686,3.14150130978002e-201,"10","Bri3"
"Ubash3b",2.16208764326225e-205,0.289551257178951,0.424,0.104,4.08829152464459e-201,"10","Ubash3b"
"Mdfi",4.06642801584043e-205,0.538136013394569,0.842,0.488,7.68920873515268e-201,"10","Mdfi"
"Soat11",3.84120256619489e-204,0.53761131218458,0.8,0.455,7.26332993241792e-200,"10","Soat1"
"Sgpp1",4.05257981315107e-204,0.384880911904903,0.553,0.191,7.66302316868736e-200,"10","Sgpp1"
"Plac1",1.59699362755305e-203,0.759801261322152,1,0.91,3.01975525034006e-199,"10","Plac1"
"Sema3e",4.25212774093227e-203,0.411830191443442,0.593,0.216,8.04034834532882e-199,"10","Sema3e"
"Zyx",3.28729454498238e-202,0.580732256233226,0.941,0.696,6.21594525510718e-198,"10","Zyx"
"Dcun1d5",3.84067321272747e-202,0.562384716708622,0.991,0.95,7.26232897794637e-198,"10","Dcun1d5"
"Cluh1",2.01915129694574e-201,0.53546539262755,0.777,0.434,3.8180131873947e-197,"10","Cluh"
"Atp1b13",8.26788440143694e-201,0.590085082097884,0.957,0.634,1.56337426146771e-196,"10","Atp1b1"
"Plekha61",1.83202095609764e-199,0.371210375597585,0.632,0.228,3.46416842588504e-195,"10","Plekha6"
"Ccdc85c",1.47091957419471e-198,0.370870256002936,0.366,0.079,2.78136182284478e-194,"10","Ccdc85c"
"Rai14",2.77292081640423e-198,0.35837725068308,0.507,0.16,5.24331597173875e-194,"10","Rai14"
"Lpgat1",1.54661921561738e-197,0.399183740716019,0.652,0.275,2.9245022748109e-193,"10","Lpgat1"
"Rpia",5.80801586026266e-197,0.467413227365979,0.69,0.333,1.09823771901707e-192,"10","Rpia"
"Wwc1",7.32472948052709e-195,0.384268943776225,0.562,0.201,1.38503309747287e-190,"10","Wwc1"
"Timm8a11",1.08520260235147e-194,0.583385377976453,0.974,0.804,2.05200960078639e-190,"10","Timm8a1"
"Gata21",1.26101293770591e-194,0.572068701410485,0.967,0.822,2.38444936390811e-190,"10","Gata2"
"Ap4s1",1.45256302662752e-194,0.571657578613995,0.873,0.663,2.74665142704998e-190,"10","Ap4s1"
"Sub1",3.38800980264975e-194,0.470509578253439,0.999,0.996,6.40638773583042e-190,"10","Sub1"
"Pkig",6.30674191477312e-194,0.555795030981905,0.959,0.827,1.19254182866445e-189,"10","Pkig"
"Cdcp1",5.90330273860172e-193,0.357731909668287,0.546,0.191,1.1162555148422e-188,"10","Cdcp1"
"Chchd41",1.84768505030574e-192,0.559358736727123,0.968,0.826,3.49378766162313e-188,"10","Chchd4"
"Emc62",1.79996569714488e-191,0.506528979775605,0.977,0.903,3.40355513673126e-187,"10","Emc6"
"Adipor11",2.23840363732309e-191,0.525523818723623,0.899,0.727,4.23259743781423e-187,"10","Adipor1"
"Rgs16",6.85994352297507e-191,0.258691710532523,0.313,0.059,1.29714672075936e-186,"10","Rgs16"
"Surf4",5.57631365226047e-190,0.54939106367197,0.932,0.787,1.05442514850593e-185,"10","Surf4"
"Furin2",8.53799132177344e-190,0.488371786016623,0.723,0.364,1.61444877903414e-185,"10","Furin"
"Sec61a1",1.06539547695033e-189,0.552900810090328,0.937,0.808,2.01455630736538e-185,"10","Sec61a1"
"Slc39a142",1.62597381765418e-189,0.395935023143003,0.756,0.307,3.07455389180229e-185,"10","Slc39a14"
"Prelid11",1.91278645267394e-188,0.506434562639587,0.992,0.973,3.61688790336115e-184,"10","Prelid1"
"Ezr2",2.25560096466073e-188,0.517822876055321,0.98,0.867,4.26511586407697e-184,"10","Ezr"
"Fam83f",2.37868868628142e-188,0.315504887784608,0.448,0.125,4.49786243688954e-184,"10","Fam83f"
"Cnbp1",2.38719413560662e-188,0.492297121607427,1,0.973,4.51394539101856e-184,"10","Cnbp"
